
 num     #instances         #bytes  class name
 222:            15            480  java.security.BasicPermissionCollection
 223:            15            480  java.util.jar.Manifest$FastInputStream
 224:            15            480  java.util.stream.SortedOps$SizedRefSortingSink
 225:            20            480  sun.net.www.MessageHeader
 226:            29            464  java.util.concurrent.locks.ReentrantLock
 227:            11            440  [Ljava.util.Formatter$Flags;
 228:            11            440  java.io.FileDescriptor
 229:            11            440  java.util.Formatter$FormatSpecifier
 230:             1            432  [[[C
 231:             9            432  java.lang.invoke.LambdaFormBuffer
 232:             9            432  java.util.Properties
 233:            18            432  java.util.regex.Pattern$TreeInfo
 234:            27            432  java.util.stream.AbstractPipeline$$Lambda$211/2128029086
 235:            27            432  org.junit.jupiter.engine.extension.MutableExtensionRegistry$$Lambda$209/482082765
 236:            27            432  org.junit.jupiter.engine.extension.MutableExtensionRegistry$$Lambda$210/667821226
 237:            18            432  sun.misc.MetaIndex
 238:            13            416  java.util.stream.FindOps$FindOp
 239:            17            408  java.util.Collections$SynchronizedSet
 240:            17            408  java.util.regex.Pattern$Single
 241:            17            408  java.util.stream.Streams$2
 242:            17            408  java.util.stream.Streams$ConcatSpliterator$OfRef
 243:            25            400  com.sun.proxy.$Proxy0
 244:            10            400  java.lang.invoke.DirectMethodHandle$Accessor
 245:            10            400  java.util.IdentityHashMap
 246:            10            400  sun.misc.URLClassPath$1
 247:            24            384  [Ljava.security.Principal;
 248:            16            384  java.io.FilePermissionCollection
 249:             1            384  java.lang.ref.Finalizer$FinalizerThread
 250:             6            384  java.nio.DirectByteBuffer
 251:            24            384  java.security.ProtectionDomain$Key
 252:            12            384  java.util.ResourceBundle$LoaderReference
 253:             1            384  java.util.logging.LogManager$Cleaner
 254:            16            384  java.util.regex.Pattern$Start
 255:            16            384  java.util.stream.MatchOps$$Lambda$20/1690254271
 256:            16            384  java.util.stream.MatchOps$1MatchSink
 257:            16            384  java.util.stream.MatchOps$MatchOp
 258:             8            384  sun.misc.ProxyGenerator
 259:            16            384  sun.reflect.ByteVectorImpl
 260:             1            376  java.lang.ref.Reference$ReferenceHandler
 261:            15            360  java.util.function.Function$$Lambda$89/520022247
 262:            15            360  java.util.jar.Manifest
 263:            22            352  java.util.stream.StreamSpliterators$WrappingSpliterator$$Lambda$213/904861801
 264:            12            344  [Ljava.io.ObjectStreamField;
 265:            14            336  java.lang.invoke.LambdaFormEditor$Transform$Kind
 266:             6            336  java.nio.DirectLongBufferU
 267:            21            336  java.util.Formatter$Flags
 268:             7            336  java.util.Hashtable$Enumerator
 269:            10            320  java.lang.NoSuchMethodError
 270:            10            320  java.lang.OutOfMemoryError
 271:            10            320  java.lang.invoke.InvokerBytecodeGenerator$CpPatch
 272:             5            320  java.text.DecimalFormatSymbols
 273:             8            320  org.junit.platform.launcher.TestIdentifier
 274:            13            312  java.util.stream.FindOps$FindSink$OfRef
 275:             9            304  [Ljava.lang.invoke.LambdaForm$NamedFunction;
 276:            19            304  com.sun.proxy.$Proxy1
 277:             3            296  [Ljava.net.URL;
 278:            18            288  com.sun.proxy.$Proxy3
 279:            12            288  java.lang.invoke.Invokers
 280:             6            288  java.util.StringTokenizer
 281:             9            288  java.util.logging.Level
 282:             6            288  sun.nio.cs.StreamDecoder
 283:             4            288  sun.reflect.DelegatingClassLoader
 284:             7            280  [Ljava.util.stream.StreamOpFlag$Type;
 285:             7            280  [Ljava.util.stream.StreamOpFlag;
 286:             5            280  sun.nio.cs.ext.DoubleByte$Decoder
 287:            17            272  com.sun.proxy.$Proxy2
 288:            17            272  java.io.FilePermission$1
 289:            11            264  java.util.LinkedList$Node
 290:             3            256  [Ljava.io.File;
 291:             8            256  java.io.FileInputStream
 292:             8            256  java.lang.reflect.WeakCache$CacheValue
 293:             8            256  java.lang.reflect.WeakCache$Factory
 294:             8            256  java.util.StringJoiner
 295:             8            256  java.util.regex.Pattern$Branch
 296:             8            256  org.junit.platform.engine.UniqueId
 297:             8            256  sun.misc.ProxyGenerator$PrimitiveTypeInfo
 298:             8            256  sun.reflect.annotation.AnnotationType
 299:             6            240  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData;
 300:            10            240  [Ljava.util.Enumeration;
 301:             5            240  java.io.BufferedReader
 302:            10            240  java.lang.annotation.ElementType
 303:            10            240  java.net.URLClassLoader$3
 304:            10            240  java.util.Formatter$FixedString
 305:             5            240  java.util.ResourceBundle$BundleReference
 306:            15            240  java.util.jar.Attributes
 307:            10            240  java.util.regex.Pattern$Slice
 308:            10            240  sun.misc.CompoundEnumeration
 309:             6            240  sun.misc.URLClassPath$2
 310:             9            224  [Ljava.util.regex.Pattern$Node;
 311:             9            216  java.util.logging.Level$KnownLevel
 312:             9            216  java.util.regex.Pattern$BitClass
 313:             9            216  sun.util.logging.PlatformLogger$Level
 314:             5            200  java.lang.invoke.BoundMethodHandle$SpeciesData
 315:             5            200  java.lang.invoke.DirectMethodHandle$Constructor
 316:             5            200  java.util.EnumMap
 317:             5            200  java.util.stream.SpinedBuffer
